F98F F930
F8FB 2
F8A3 10
F83F 5
F82F 4
F877 20
F8E0 8
F917 24
F8DE 10
F865 0
F837 40
F891 49
F90F 0
F931 44
F8E0 4C
F86A 0
F83E 8
F890 0
F910 0
F937 10
F8DC 0
F862 12
F842 41
F886 10
F8CC 0
F8B9 1
F865 0
F829 0
F82F 30
F857 4
F873 0
F86B 0
F84B 30
F840 40
F856 0
F866 0
F852 0
F83A 9
F851 0
F889 0
F8A7 0
F88E 10
F85C 0
F83F 0
F850 4
F86F 0
F856 4
F7F9 19
F7A5 0
F7AE 0
F801 3E
F839 0
F81B 0
F7D9 0
F7D3 0
F822 0
F871 20
F871 0
F83A 0
F820 0
F83B 28
F863 40
F875 0
F872 2
F859 0
F835 8
F827 0
F842 8
F859 20
F841 10
F81A 8
F81D 0
F847 15
F85B 0
F850 0
F857 0
F87C 0
F880 20
F84E 4
F832 0
F850 0
F869 0
F851 8
F826 0
F7FD 20
F7D9 0
F7DD 0
F81B 0
F85F 1
F864 1
F840 0
F83E 0
F87B 0
F8C8 0
F8F3 0
F8F9 0
F8F1 A
F8E0 6
F8C3 0
F8BA 0
F8DB 0
F900 2
F8E6 0
F886 2
F831 0
F837 20
F88C 44
F8CE 0
F8C2 30
F880 0
F854 0
F87D 0
F8F3 0
F951 0
F948 8
F90A 0
F8EF 4
F902 0
F924 45
F94B 0
F955 40
F91B 2
F8C3 20
F8A3 0
F8E0 0
F933 1
F93B 20
F8EB 0
F89C 40
F8A8 48
F8FF 1
F94F 5
F960 0
F944 0
F928 0
F932 40
F95F 0
F98C 0
F994 8
F973 8
F949 0
F937 0
F938 41
F938 2
F933 2
F92A 0
F923 8
F91C 0
F91B 0
F91D 0
F917 0
F90E 0
F915 0
F926 0
F920 0
F900 0
F8E6 0
F8F2 0
F910 2
F916 0
F8FA 0
F8D2 0
F8C8 0
F8E6 0
F914 0
F928 1
F900 0
F8BE 0
F8B2 0
F8F1 0
F92F 0
F91A 0
F8B9 0
F869 4
F869 0
F8A1 0
F8D4 0
F8D0 0
F897 0
F85C 0
F85C 0
F88F 0
F8B6 0
F8AA 0
F88A 8
F87C 0
F879 0
F876 0
F876 0
F884 60
F891 0
F888 0
F868 0
F850 0
F851 28
F847 10
F826 0
F80B 0
F7FE 0
F7E3 0
F7C7 1
F7D3 1
F7F7 8
F7FC 0
F7EB 0
F7EC 0
F7F7 0
F7FA 0
F7F8 0
F7F8 0
F7E8 0
F7C6 0
F7B7 0
F7D4 2
F7F7 0
F7E4 0
F7B6 0
F7C3 0
F7FD 30
F800 20
F7C5 0
F7B4 0
F7ED 0
F825 0
F826 8
F806 0
F7EF 0
F7FF 0
F835 0
F85D 10
F84F 0
F81E 0
F7FC 8
F7EB 2
F7E0 0
F7E4 20
F7F2 1
F7EC 10
F7D7 3
F7DD 0
F802 2
F81C 0
F820 0
F81F 0
F81A 0
F828 0
F869 0
F8BF 8
F8D5 18
F89D 0
F86F 0
F881 8
F8B3 2C
F8D2 20
F8BA 9
F86B 1
F819 0
F808 40
F848 0
F89C 40
F8BC 8
F897 20
F862 8
F86C 0
F8C8 3
F931 14
F959 0
F937 11
F903 0
F8F2 20
F911 8
F92C 8
F915 20
F8E1 0
F8CA 20
F8DB 0
F8E9 2
F8E0 0
F8DC 0
F8F4 0
F907 10
F8F6 0
F8D8 0
F8D6 4
F8FA 0
F926 10
F92F 0
F914 0
F907 2
F924 0
F94C 40
F95C 40
F949 0
F924 4
F912 20
F922 0
F92E 8
F91A 0
F8FF 18
F8FF 3
F908 0
F903 0
F903 2
F914 0
F919 0
F8FE 0
F8E5 16
F8FA 0
F92E 8
F945 0
F91E 40
F8D8 40
F8B1 4
F8CB C
F913 0
F941 0
F91A 10
F8B1 0
F86C 20
F898 4
F8FF 0
F926 0
F8D8 0
F85D 40
F81D 50
F838 40
F87C 2
F8A3 40
F88C 0
F856 0
F83C 1
F85C 15
F89D 0
F8CB 0
F8C5 0
F89B 6
F873 0
F867 0
F874 0
F883 0
F87D 0
F84F 20
F811 24
F7F8 0
F805 10
F7FB 10
F7C7 0
F79F 0
F7A4 0
F7AF 0
F7A2 18
F79D 0
F7B7 0
F7D9 0
F7EA 0
F7EF 0
F7EE 0
F7F3 0
F802 0
F80C 0
F7FD 0
F7E7 0
F7E2 0
F7E7 1
F7E0 10
F7BF 0
F796 0
F78B 0
F7A4 0
F7AD 0
F788 0
F761 0
F768 0
F78F 0
F7AE 0
F7B5 0
F7AD 0
F7B0 0
F7C1 0
F7D3 0
F7E8 0
F80D 0
F830 0
F82B 0
F80A 0
F7FB 0
F81C 0
F858 19
F869 0
F81A 8
F7AB 0
F79D 2
F803 0
F852 0
F81E 0
F7A9 0
F77A 0
F7C1 2
F836 4
F86C 18
F847 0
F804 0
F7F0 0
F81B 2
F854 1
F874 0
F87C 0
F876 4
F86D 0
F87C 0
F8B7 0
F8FA 0
F915 0
F916 0
F91D 4
F91B 0
F8FE 0
F8E8 0
F900 8
F91B 8
F8FC 8
F8AF 8
F880 0
F89E 40
F8ED 40
F92C 0
F925 24
F8E4 0
F8BC 0
F8EF 30
F95C 0
F99F 0
F971 2
F90C 4
F8EB 10
F93F 0
F9A7 10
F9B3 0
F970 0
F930 2
F91B 8
F92C 10
F958 0
F96E 1
F93D 0
F8DC 0
F8A0 30
F8BA 30
F905 13
F92F 0
F908 2
F8B5 0
F89A 0
F8E7 1
F954 0
F971 0
F929 0
F8DB 0
F8DC 0
F921 0
F964 20
F963 0
F905 10
F88B 14
F85F 10
F898 0
F8DB 8
F8CE 3
F870 2
F802 0
F7CD 0
F7FD 0
F85F 0
F882 1
F83D 4
F7E2 0
F7CE 2
F800 1
F845 0
F862 0
F842 0
F80F 0
F802 0
F818 0
F829 0
F828 0
F823 0
F80C 0
F7E3 0
F7CA 0
F7C5 0
F7B6 0
F79B 0
F78E 0
F78B 0
F784 0
F781 0
F782 0
F782 0
F785 0
F783 0
F76E 0
F75C 0
F776 0
F7AB 0
F7B8 0
F798 0
F784 0
F797 0
F7AE 0
F7B8 0
F7BD 0
F7AD 0
F77F 0
F763 0
F77C 0
F798 0
F781 0
F75E 0
F765 0
F77C 0
F778 0
F76A 0
F772 0
F786 0
F78B 0
F78B 0
F7AA 0
F7EB 0
F819 0
F80F 0
F7F3 0
F7F9 0
F827 0
F858 0
F85F 0
F83A 0
F815 8
F80C 0
F80D 3
F80D 0
F81E 0
F839 0
F838 30
F80F 2
F7E3 0
F7DF 0
F811 0
F861 1
F88D 0
F873 0
F845 0
F856 0
F8A6 0
F8F4 0
F91A 8
F927 10
F926 31
F917 0
F90A 8
F910 0
F916 42
F905 20
F8E1 40
F8C5 0
F8C3 0
F8D3 2
F8E6 0
F8EE 0
F8E5 8
F8DF 4
F8F2 0
F91C 8
F945 0
F94C 12
F93A 0
F92A 1
F932 9
F947 0
F95F 0
F979 0
F97C 0
F95D 0
F936 0
F934 1
F965 0
F9A2 0
F9A4 0
F95D 31
F90B 0
F8FA 0
F930 5
F959 0
F93A C
F8F6 0
F8C8 5
F8C0 0
F8DF 0
F916 0
F932 0
F900 0
F8AD 14
F89C 4
F8D8 0
F915 4
F918 2
F8E1 10
F895 0
F86E 0
F896 0
F8E0 0
F8F1 0
F8B6 0
F865 0
F838 0
F845 0
F872 0
F889 0
F869 0
F82B 2
F7F4 0
F7DA 0
F7EC 0
F81C 0
F82F 0
F800 0
F7BF 0
F7AB 0
F7C4 0
F7E4 0
F7EB 0
F7D6 0
F7B2 0
F797 0
F78F 0
F78F 0
F789 0
F77A 0
F766 0
F74D 0
F739 0
F734 0
F73A 0
F740 0
F73B 0
F72B 0
F722 0
F737 0
F763 0
F777 0
F759 0
F726 0
F71C 0
F748 0
F780 0
F78E 0
F76B 0
F73D 0
F731 0
F74D 0
F76E 0
F76F 0
F74C 0
F721 0
F716 0
F73E 0
F773 0
F77E 0
F761 0
F750 0
F77C 0
F7CF 0
F809 0
F803 0
F7DC 0
F7D7 0
F7F8 0
F814 0
F819 0
F818 0
F815 0
F805 1
F7E9 0
F7DC 0
F7F3 0
F81E 1
F837 5
F829 1
F800 0
F7EA 0
F808 0
F84A 0
F878 0
F86F 0
F864 0
F88C 2
F8CB 1
F8F2 0
F909 0
F933 0
F966 4
F97A 0
F96C 0
F961 1
F96D 20
F975 A
F95C 1
F929 8
F8FA 2
F8E6 80
F8F0 2
F8F9 4
F8DE 20
F8B5 0
F8BA 0
F8F2 4
F92A 0
F93C 0
F92C 0
F915 0
F916 0
F946 40
F98A 0
F9A8 41
F992 0
F97D 0
F98D 0
F9AE 0
F9C7 10
F9D1 10
F9B9 0
F981 4
F961 0
F969 11
F95A 0
F915 4
F8E4 5
F8EE 2
F8EF 20
F8CD 4
F8B4 0
F8AF A
F8AF 0
F8B8 2
F8C5 2
F8B4 C
F890 1
F888 0
F8A6 2
F8B9 8
F8A2 0
F875 0
F859 0
F869 0
F892 0
F89F 0
F875 4
F839 0
F818 0
F816 0
F824 0
F82F 0
F815 0
F7CB 0
F784 0
F777 0
F795 0
F7A0 0
F786 0
F762 0
F752 0
F767 0
F784 0
F780 0
F767 0
F766 0
F782 0
F797 0
F783 0
F74C 0
F720 0
F729 0
F753 0
F74F 0
F705 0
F6C7 0
F6D6 0
F709 0
F715 0
F6F8 0
F6E3 0
F6FA 0
F72C 0
F73C 0
F71F 0
F713 0
F744 0
F781 0
F792 0
F77E 0
F75C 0
F733 0
F727 0
F74B 0
F769 0
F74A 0
F713 0
F706 0
F726 0
F74E 0
F76F 0
F780 0
F781 0
F792 0
F7CF 0
F811 4
F80D 0
F7D0 0
F7B4 0
F7E2 5
F82B 12
F84B 0
F82B 0
F7EA 0
F7C7 0
F7E7 0
F831 0
F865 1
F85A 0
F82A 0
F812 0
F82F 4
F864 8
F881 0
F87C 0
F86F 0
F875 0
F89C 0
F8D5 0
F902 0
F91A 0
F932 0
F954 0
F96E 10
F97C 10
F98B 0
F999 0
F992 0
F972 0
F94E 0
F942 0
F956 20
F979 80
F98A 80
F97A 14
F955 A1
F934 A0
F931 80
F958 0
F98E C8
F99B C4
F966 84
F924 80
F921 A
F966 80
F9B8 0
F9DD 40
F9D4 0
F9B5 0
F99F 0
F9AA 41
F9CB 1
F9E6 1
F9E3 0
F9BD 0
F978 4
F93D 20
F93B 8
F961 0
F966 0
F92D 0
F8E1 0
F8BE 0
F8D7 4
F8F6 43
F8E2 0
F8AA 0
F88D 8
F89F 8
F8BB 8
F8BA 8
F894 2
F866 0
F85C 10
F884 0
F8B2 0
F8B2 0
F888 0
F85C 3
F844 20
F844 20
F853 0
F84C 20
F816 0
F7CB B
F79F 0
F79C 0
F7A2 0
F799 0
F788 0
F778 0
F76D 0
F76A 0
F773 0
F77C 0
F76F 0
F753 0
F742 0
F747 0
F754 0
F75E 0
F764 0
F75E 0
F749 0
F744 0
F769 0
F78D 0
F77F 0
F746 0
F714 0
F707 0
F714 0
F721 0
F720 0
F714 0
F704 0
F6FB 0
F707 0
F726 0
F742 0
F753 0
F757 0
F748 0
F72A 0
F719 0
F735 0
F774 0
F79A 0
F788 0
F767 0
F771 0
F799 0
F7BA 0
